name,kcal_per_100g,category
Ciğer,191.0,Et ve Et Ürünleri
Ciğer (ızgara),220.0,Et ve Et Ürünleri
Dana antrikot (fırınlanmış),287.5,Et ve Et Ürünleri
Dana antrikot (çiğ),250.0,Et ve Et Ürünleri
Dana antrikot (ızgara),287.5,Et ve Et Ürünleri
Dana biftek (fırınlanmış),260.0,Et ve Et Ürünleri
Dana biftek (çiğ),200.0,Et ve Et Ürünleri
Dana biftek (ızgara),260.0,Et ve Et Ürünleri
Dana bonfile (fırınlanmış),218.5,Et ve Et Ürünleri
Dana bonfile (çiğ),190.0,Et ve Et Ürünleri
Dana bonfile (ızgara),218.5,Et ve Et Ürünleri
Dana incik (fırınlanmış),207.0,Et ve Et Ürünleri
Dana incik (çiğ),180.0,Et ve Et Ürünleri
Dana incik (ızgara),207.0,Et ve Et Ürünleri
Dana kaburga (fırınlanmış),345.0,Et ve Et Ürünleri
Dana kaburga (çiğ),300.0,Et ve Et Ürünleri
Dana kaburga (ızgara),345.0,Et ve Et Ürünleri
Dana kontrfile (fırınlanmış),241.5,Et ve Et Ürünleri
Dana kontrfile (çiğ),210.0,Et ve Et Ürünleri
Dana kontrfile (ızgara),241.5,Et ve Et Ürünleri
Dana kuşbaşı (fırınlanmış),230.0,Et ve Et Ürünleri
Dana kuşbaşı (çiğ),200.0,Et ve Et Ürünleri
Dana kuşbaşı (ızgara),230.0,Et ve Et Ürünleri
Dana salam,336.0,Et ve Et Ürünleri
Dana sosis,301.0,Et ve Et Ürünleri
Dana sucuk,450.0,Et ve Et Ürünleri
Dana şiş (ızgara),280.0,Et ve Et Ürünleri
Et döner,280.0,Et ve Et Ürünleri
Kavurma,330.0,Et ve Et Ürünleri
Kuzu incik (fırınlanmış),264.0,Et ve Et Ürünleri
Kuzu incik (çiğ),240.0,Et ve Et Ürünleri
Kuzu incik (ızgara),264.0,Et ve Et Ürünleri
Kuzu kol (fırınlanmış),297.0,Et ve Et Ürünleri
Kuzu kol (çiğ),270.0,Et ve Et Ürünleri
Kuzu kol (ızgara),297.0,Et ve Et Ürünleri
Kuzu kuşbaşı (fırınlanmış),275.0,Et ve Et Ürünleri
Kuzu kuşbaşı (çiğ),250.0,Et ve Et Ürünleri
Kuzu kuşbaşı (ızgara),275.0,Et ve Et Ürünleri
Kuzu pirzola (fırınlanmış),352.0,Et ve Et Ürünleri
Kuzu pirzola (çiğ),320.0,Et ve Et Ürünleri
Kuzu pirzola (ızgara),352.0,Et ve Et Ürünleri
Kuzu şiş (ızgara),290.0,Et ve Et Ürünleri
Köfte (ızgara),250.0,Et ve Et Ürünleri
Pastırma,200.0,Et ve Et Ürünleri
Hindi but (fırınlanmış),200.0,Tavuk ve Hindi
Hindi but (çiğ),160.0,Tavuk ve Hindi
Hindi but (ızgara),200.0,Tavuk ve Hindi
Hindi göğsü (fırınlanmış),138.8,Tavuk ve Hindi
Hindi göğsü (çiğ),111.0,Tavuk ve Hindi
Hindi göğsü (ızgara),138.8,Tavuk ve Hindi
Hindi şiş (ızgara),170.0,Tavuk ve Hindi
Tavuk baget (fırınlanmış),243.0,Tavuk ve Hindi
Tavuk baget (çiğ),180.0,Tavuk ve Hindi
Tavuk baget (ızgara),243.0,Tavuk ve Hindi
Tavuk but (fırınlanmış),216.0,Tavuk ve Hindi
Tavuk but (çiğ),160.0,Tavuk ve Hindi
Tavuk but (ızgara),216.0,Tavuk ve Hindi
Tavuk bütün (fırınlanmış),216.0,Tavuk ve Hindi
Tavuk bütün (çiğ),160.0,Tavuk ve Hindi
Tavuk bütün (ızgara),216.0,Tavuk ve Hindi
Tavuk göğsü (fırınlanmış),162.0,Tavuk ve Hindi
Tavuk göğsü (çiğ),120.0,Tavuk ve Hindi
Tavuk göğsü (ızgara),162.0,Tavuk ve Hindi
Tavuk kanat (fırınlanmış),359.1,Tavuk ve Hindi
Tavuk kanat (çiğ),266.0,Tavuk ve Hindi
Tavuk kanat (ızgara),359.1,Tavuk ve Hindi
Tavuk şiş (ızgara),190.0,Tavuk ve Hindi
Ahtapot,164.0,Balık ve Deniz Ürünleri
Alabalık,148.0,Balık ve Deniz Ürünleri
Alabalık (fırınlanmış),155.4,Balık ve Deniz Ürünleri
Alabalık (ızgara),155.4,Balık ve Deniz Ürünleri
Barbun,124.0,Balık ve Deniz Ürünleri
Barbun (fırınlanmış),130.2,Balık ve Deniz Ürünleri
Barbun (ızgara),130.2,Balık ve Deniz Ürünleri
Kalamar,175.0,Balık ve Deniz Ürünleri
Kalkan,130.0,Balık ve Deniz Ürünleri
Kalkan (fırınlanmış),136.5,Balık ve Deniz Ürünleri
Kalkan (ızgara),136.5,Balık ve Deniz Ürünleri
